Summary of Donations reported by Donors to The Nationals - 2016-17,
data exported: 23/Oct/2018 09:10,
DonorClientNm,RecipientClientNm,AmountPaid,
"Pardoo Beef Corporation Pty Ltd","National Party of Australia (WA) Inc","125500.0000",
"Chedering Farm Pty Ltd","National Party of Australia (WA) Inc","60000.0000",
"Boden Holdings","National Party of Australia (WA) Inc","40000.0000",
"Kimberley Agricultural Investment Pty Ltd","National Party of Australia (WA) Inc","40000.0000",
"Manildra Group","National Party of Australia","37200.0000",
"Retail Guild of Australia Inc","NAT-WA","33833.0000",
"Macquarie Group Limited","National Party of Australia","29700.0000",
"The Pharmacy Guild of Australia","National Party of Australia","29000.0000",
"Santos Limited","NAT-FED","27170.0000",
"Hanssen Pty Ltd","National Party of Australia (WA) Inc","25000.0000",
"Tabcorp Holdings Limited","National Party of Australia","25000.0000",
"Mineral Resources","National Party of Australia (WA) Inc","23000.0000",
"Visa AP (Australia) Pty Ltd","National Party of Australia","22000.0000",
"CapitalHill Advisory Pty Ltd","National Party of Australia","20950.0000",
"Clubs Australia","National Party of Australia","20120.0000",
"Minerals Council of Australia","NAT-FED","18700.0000",
"Retail Guild of Australia Inc","NAT-NSW","18190.0000",
"CropLife Australia Limited","National Party of Australia","18100.0000",
"National Building Foundation","NAT-NSW","18042.0000",
"Regional Express Holdings Ltd","National Party of Australia","17379.0000",
"Philip Morris Limited","National Party of Australia","15700.0000",
"Johnson & Johnson Pty Ltd","NAT-FED","15375.0000",
"Crown Resorts Limited","National Party of Australia (WA) Inc","13188.0000",
"Origin Energy","National Party of Australia","12925.0000",
"Commonwealth Bank of Australia","National Party of Australia","12455.0000",
"Woodside Energy Limited","National Party of Australia","12100.0000",
"Chevron Australia Pty Ltd","National Party of Australia","11660.0000",
"Primary Health Care Limited","NAT-FED","11250.0000",
"Master Builders Australia Ltd","National Party of Australia","11023.0000",
"Lion Pty Ltd","National Party of Australia","11000.0000",
"Retail Guild of Australia Inc","NAT-FED","11000.0000",
"Jefferson Investments Pty Limited","National Party of Australia","10440.0000",
"Manildra Group","National Party of Australia - N.S.W.","10000.0000",
"Medicines Australia Limited","National Party of Australia","9200.0000",
"Seven West Media Limited","National Party of Australia","7940.0000",
"Australian Hotels Association - Federal Office","National Party of Australia","6912.0000",
"Aurizon Holdings Ltd","National Party of Australia","6600.0000",
"Sanofi-Aventis Australia Pty Ltd","National Party of Australia - N.S.W.","6500.0000",
"Medtronic Australasia Pty Ltd","NAT-FED","5750.0000",
"AdminWestpacBanking Corpor","National Party of Australia","5500.0000",
"SingTel Optus Pty Ltd","National Party of Australia","5500.0000",
"Tabcorp Holdings Limited","National Party of Australia (WA) Inc","5150.0000",
"Caltex Australia Limited","NATS - FED","4500.0000",
"Woodside Energy Limited","National Party of Australia (WA) Inc","4500.0000",
"Insurance Australia Group Limited","National Party of Australia - Victoria","3750.0000",
"Medicines Australia Limited","National Party of Australia - N.S.W.","3300.0000",
"Infrastructure Partnerships Australia Ltd","The Nationals - NSW","2500.0000",
"Perdaman Chemicals & Fertiliser Pty Ltd","National Party of Australia (WA) Inc","2000.0000",
"Retail Guild of Australia Inc","NAT-VIC","2000.0000",
"Novartis Pharmaceuticals Australia Pty Limited","National Party of Australia - N.S.W.","1600.0000",
"Novartis Pharmaceuticals Australia Pty Limited","National Party of Australia","1500.0000",
"Santos Limited","NAT-WA","1500.0000",
"Australian Automobile Association","National Party of Australia","1060.0000",
"ALH Group Pty Ltd","NAT - VIC","1000.0000",
"Clubs Australia","National Party of Australia - Victoria","1000.0000",
"Johnson & Johnson Pty Ltd","NAT-NSW","800.0000",
"Sanofi-Aventis Australia Pty Ltd","National Party of Australia","750.0000",
"Australian Private Hospitals Association","National Party of Australia","682.0000",
"NATIONAL ROADS & MOTORISTS' ASSOCIATION LIMITED","National Party of Australia","440.0000",
"Pfizer Australia Pty Limited","NAT-FED","440.0000",
"Caltex Australia Limited","NAT - FED","330.0000",
"Caltex Australia Limited","NAT - NSW","300.0000",
"Chevron Australia Pty Ltd","National Party of Australia (WA) Inc","150.0000",
"Suncorp Group Limited","National Party of Australia - NSW- (NAT-NSW)","100.0000",
"Deloitte Touche Tohmatsu","National Party of Australia - N.S.W.","77.0000",
