Summary of Donations reported by Donors to Australian Labor Party - 2016-17,
data exported: 23/Oct/2018 09:10,
DonorClientNm,RecipientClientNm,AmountPaid,
"ANZ Banking Group Limited","Australian Labor Party (ALP)","150000.0000",
"National Automotive Leasing and Salary Packaging Association","Australian Labor Party (ALP)","128100.0000",
"Woodside Energy Limited","Australian Labor Party (ALP)","110000.0000",
"PricewaterhouseCoopers","Australian Labor Party (ALP)","85600.0000",
"Mr William Johnston","Australian Labor Party (Western Australian Branch)","79250.0000",
"Registered Clubs Association of NSW (t/as ClubsNSW)","Australian Labor Party (ALP)","67500.0000",
"Crescent Capital Partners Holdings Pty Ltd","Australian Labor Party (ALP)","61250.0000",
"PricewaterhouseCoopers","Australian Labor Party (Victorian Branch)","54655.0000",
"Mineral Resources","Australian Labor Party (Western Australian Branch)","53700.0000",
"Ernst & Young","Australian Labor Party (Western Australian Branch)","53519.0000",
"CFMEU National Office","Australian Labor Party (ALP)","51925.0000",
"Visa AP (Australia) Pty Ltd","Australian Labor Party (ALP)","51500.0000",
"Ms Samantha Rowe","Australian Labor Party (Western Australian Branch)","51050.0000",
"Mr Matthew Hughes","Australian Labor Party (Western Australian Branch)","51000.0000",
"Berrimah North Developments","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Estate of the Late Ann Margaret Gruen","Australian Labor Party (ALP)","50000.0000",
"Northwake Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"NT Kerbing Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Randazzo C & G Development Pty Ltd","Australian Labor Party (Northern Territory) Branch","50000.0000",
"Riverlee Corporation Pty Ltd","Australian Labor Party (Victorian Branch)","50000.0000",
"Crown Resorts Limited","Australian Labor Party (Western Australian Branch)","46955.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (Victorian Branch)","46600.0000",
"Genworth Mortgage Insurance Australia Limited","Australian Labor Party (ALP)","45825.0000",
"Mulloway Pty Ltd","Australian Labor Party (Western Australian Branch)","45600.0000",
"Lion Pty Ltd","Australian Labor Party (ALP)","45250.0000",
"BFJ PTY LTD","Australian Labor Party (ALP)","45000.0000",
"BFJ PTY LTD","Australian Labor Party (N.S.W. Branch)","45000.0000",
"Novartis Pharmaceuticals Australia Pty Limited","Australian Labor Party (ALP)","44550.0000",
"INSURANCE COUNCIL OF AUSTRALIA","Australian Labor Party (ALP)","44406.0000",
"The Pharmacy Guild of Australia","Australian Labor Party (ALP)","43000.0000",
"Commonwealth Bank of Australia","Australian Labor Party (ALP)","42150.0000",
"AICA Engineering","Australian Labor Party (Western Australian Branch)","41055.0000",
